,average_roi
TSLA,-0.32930592
PYPL,-0.317254045
AMZN,-0.223173752
INTC,-0.220951709
CRM,-0.214848257
DIS,-0.202624951
NVDA,-0.199095037
NFLX,-0.178629862
GOOGL,-0.167807726
GOOG,-0.164890246
AAP,-0.152535474
CMCSA,-0.11684328
MSFT,-0.106292534
AAPL,-0.096960535
CSCO,-0.084023282
HD,-0.079339449
VZ,-0.078766659
ABT,-0.078182769
COST,-0.064420955
JPM,-0.036232814
SBUX,-0.031045313
PFE,-0.029436226
GS,-0.015363713
PG,-0.011058314
V,0.004980749
MCD,0.009749627
MA,0.009957011
WMT,0.012508151
JNJ,0.029091518
MO,0.029579118
UNH,0.038444005
T,0.039884896
KO,0.047880223
IBM,0.051500941
CAT,0.09020412
MRK,0.167952881
CVX,0.204998726
XOM,0.274962251