Ticker,average_volatility
V_data,1.950309346
AAP_data,2.344311122
WMT_data,1.682974384
AAPL_data,2.248663888
JNJ_data,1.096553207
CRM_data,2.974692577
MCD_data,1.246593732
XOM_data,2.210276443
PYPL_data,3.700945561
GOOG_data,2.442288888
ABT_data,1.679957437
GS_data,1.864036871
KO_data,1.239873522
NVDA_data,3.982335373
MA_data,2.042154667
CAT_data,2.114904382
NFLX_data,4.413558601
SBUX_data,2.259609898
GOOGL_data,2.43475811
JPM_data,1.881790839
MO_data,1.568353131
T_data,1.728831398
HD_data,1.973236019
PG_data,1.382953087
PFE_data,1.698315757
UNH_data,1.535323631
VZ_data,1.425493154
CSCO_data,1.844770636
IBM_data,1.503175506
TSLA_data,4.200182595
CVX_data,2.073788132
CMCSA_data,1.876501143
AMZN_data,3.154574888
DIS_data,2.33486809
INTC_data,2.413558243
COST_data,1.976086561
MSFT_data,2.22453025
MRK_data,1.255495065