Ticker,Adjusted_Sustainability_Metric
JNJ,4.797162233
MCD,5.317706769
KO,5.431181647
VZ,5.64565598
PG,5.802579092
MRK,5.939375117
UNH,6.544820544
ABT,6.688182005
PFE,6.960351457
WMT,7.105013473
CSCO,7.229239416
CMCSA,7.342214785
T,7.356448509
GS,7.705859299
JPM,7.716898767
HD,7.781419613
COST,7.946412424
V,8.034743713
MA,8.452113379
MSFT,8.666200864
DIS,8.759722556
AAPL,8.833230079
INTC,9.001342803
SBUX,9.219341673
GOOGL,9.349551536
CVX,9.508314099
XOM,10.35420478
CRM,11.24671061
AMZN,12.08660454
PYPL,13.7468494
NVDA,15.32754468
TSLA,15.81142337
NFLX,17.15854829